time,T_L2_norm,avg_temp,dt_size,max_temp,total_energy
0,0,0,0,0,0
0.005,0.017699931046538,0.016233403999752,0.005,0.02437531887043,0.016233403999752
0.015,0.042029310643998,0.037305782098604,0.01,0.06547400012238,0.037305782098604
0.035,0.068959355635609,0.059794494360921,0.02,0.11637094545824,0.059794494360919
0.075,0.089832238512207,0.076930868364717,0.04,0.15758367151236,0.076930868364715
0.155,0.099873800640206,0.085126090705401,0.08,0.17766871199938,0.085126090705399
0.315,0.10261764569561,0.087361715563053,0.16,0.18317446617757,0.087361715563051
0.635,0.10301986924048,0.087689316082828,0.32,0.18398215346945,0.087689316082827
1,0.1030496167642,0.087713543025484,0.365,0.18404189816926,0.087713543025483
