time,avg_rho_e,max_phi,max_rho_e
0,0,0,0
0.01,0.028559933214294,0.0088113007519605,0.86913430025131
0.02,0.025963575649349,0.0080102734110734,0.79012209113759
0.03,0.023603250590309,0.007282066737338,0.71829281012511
0.04,0.021457500536638,0.0066200606703059,0.65299346375013
0.05,0.019506818669664,0.0060182369730041,0.59363042159105
0.06,0.01773347151787,0.0054711245209116,0.53966401962825
0.07,0.016121337743513,0.0049737495644641,0.49060365420752
0.08,0.014655761585007,0.0045215905131482,0.44600332200686
0.09,0.013323419622729,0.0041105368301339,0.4054575654608
0.1,0.012112199657022,0.0037368516637573,0.36859778678256
0.11,0.011011090597289,0.0033971378761423,0.33508889707507
0.12,0.010010082361169,0.0030883071601287,0.30462627006826
0.13,0.0091000748737867,0.0028075519637528,0.27693297278934
0.14,0.0082727953398033,0.0025523199670474,0.25175724799032
0.15,0.0075207230361823,0.0023202908791335,0.22887022544575
0.16,0.0068370209419816,0.0021093553446664,0.20806384131433
0.17,0.0062154735836175,0.0019175957678782,0.1891489466494
0.18,0.0056504305305595,0.0017432688798889,0.1719535878631
0.19,0.0051367550277796,0.0015847898908077,0.15632144351191
0.2,0.0046697772979799,0.0014407180825522,0.14211040319266
0.21,0.0042452520890712,0.0013097437114108,0.12919127562969
0.22,0.0038593200809725,0.0011906761012823,0.11744661420882
0.23,0.0035084728008829,0.0010824328193473,0.10676964928075
0.24,0.0031895207280743,0.00098402983577008,0.097063317527956
0.25,0.0028995642982484,0.00089457257797261,0.088239379570873
0.26,0.0026359675438613,0.00081324779815675,0.080217617791706
0.27,0.0023963341307822,0.00073931618014235,0.072925107083372
0.28,0.0021784855734376,0.00067210561831108,0.066295551893978
0.29,0.0019804414303972,0.0006110051075554,0.060268683539982
0.3,0.0018004013003604,0.00055545918868661,0.054789712309077
0.31,0.0016367284548726,0.00050496289880591,0.049808829371891
0.32,0.0014879349589746,0.00045905718073254,0.045280753974448
0.33,0.0013526681445219,0.00041732470975677,0.041164321794955
0.34,0.0012296983132013,0.0003793860997788,0.037422110722688
0.35,0.0011179075574553,0.00034489645434429,0.03402010065699
0.36,0.0010162795976863,0.00031354223122202,0.030927364233629
0.37,0.0009238905433509,0.00028503839201996,0.028115785666937
0.38,0.00083990049395508,0.00025912581092718,0.025559805151762
0.39,0.00076354590359527,0.00023556891902466,0.023236186501602
0.4,0.00069413263963183,0.00021415356274965,0.021123805910549
0.41,0.00063102967239236,0.00019468505704509,0.019203459918681
0.42,0.00057366333853832,0.0001769864154955,0.017457690835166
0.43,0.00052151212594374,0.00016089674135951,0.015870628031969
0.44,0.00047410193267597,0.00014626976487225,0.014427843665427
0.45,0.00043100175697801,0.0001329725135202,0.013116221514025
0.46,0.00039181977907079,0.00012088410320016,0.011923837740024
0.47,0.00035619979915514,0.00010989463927285,0.010839852490931
0.48,0.00032381799923184,9.9904217520751e-05,0.0098544113553923
0.49,0.00029437999930157,9.0822015927936e-05,0.0089585557776298
0.5,0.00026761818118316,8.2565469025379e-05,0.0081441416160275
