time,avg_rho,max_phi,max_rho,min_phi
0,0,0,0,0
0.02,0.031722946433813,0.99656090982254,0.9115291252189,0.0035255661653434
0.04,0.053774328540264,0.99663137234369,0.95967352251057,0.0035305414928133
0.06,0.074053002527565,0.99669565063364,0.97742943025296,0.0035368643042638
0.08,0.093403738309397,0.99675584146641,0.98551267116958,0.0035444541079476
0.1,0.11214173107631,0.99681284350113,0.98970167706733,0.0035532548677679
0.12,0.13041364643048,0.99686712157035,0.99205728350196,0.0035632229102225
0.14,0.14829929144859,0.99691895240546,0.99345479180797,0.003574322067696
0.16,0.16584760768947,0.99696851990892,0.99431389427611,0.0035865213835346
0.18,0.18309168814385,0.99701595745128,0.99485396323464,0.0035997938869002
0.2,0.20005581714736,0.99706136861369,0.9951972226965,0.0036141158685536
0.22,0.2167590625232,0.99710483816166,0.99541519122933,0.003629466408014
0.24,0.23321722677667,0.99714643821204,0.99555137653192,0.0036458270265513
0.26,0.24944395398316,0.997186231878,0.9956330988887,0.0036631813906091
0.28,0.26545136961105,0.9972242755209,0.9956779745474,0.0036815150084287
0.3,0.28125043975752,0.99726062020084,0.9956976225828,0.0037008148656316
0.32,0.29685114264269,0.99729531265157,0.99569985920924,0.0037210689415985
0.34,0.31226249653453,0.99732839596805,0.99569003539748,0.003742265543216
0.36,0.32749246259348,0.99735991012023,0.99567187300363,0.0037643923907866
0.38,0.34254772888804,0.99738989236568,0.99564799891689,0.0037874353971208
0.4,0.35743337881402,0.99741837760952,0.99562029283749,0.0038113770988916
0.42,0.37215245127016,0.99744539874605,0.99559011752423,0.003836194731528
0.44,0.38670540971629,0.99747098700649,0.9955584734863,0.0038618579851604
0.46,0.40108955096426,0.99749517233012,0.99552610425766,0.0038883265362134
0.48,0.41529839996284,0.99751798376955,0.99549356883934,0.0039155475106633
0.5,0.42932115109711,0.99753944993367,0.99546129201484,0.0039434530914732
0.52,0.44314222649445,0.99755959946527,0.99542959955815,0.003971958523481
0.54,0.45674102457335,0.99757846154284,0.99539874300771,0.0040009607836512
0.56,0.47009192544793,0.99759606638943,0.99536891716428,0.0040303381653907
0.58,0.48316460304456,0.99761244576569,0.99534027247997,0.0040599509696081
0.6,0.49592466788742,0.9976276334205,0.99531292384915,0.0040896434056205
0.62,0.5083346322624,0.99764166547118,0.99528695687163,0.0041192466915423
0.64,0.52035515512356,0.99765458068699,0.99526243235792,0.0041485832213198
0.66,0.53194649263983,0.99766642065402,0.99523938963611,0.0041774715516776
0.68,0.54307005644889,0.99767722980681,0.99521784906981,0.0042057318738481
0.7,0.55368996907169,0.99768705532052,0.99519781408437,0.0042331915850029
0.72,0.56377450624903,0.99769594686762,0.99517927291366,0.0042596905692317
0.74,0.57329732871742,0.99770395625185,0.99516220021075,0.0042850858366263
0.76,0.58223842873689,0.99771113694031,0.99514655861478,0.0043092552435311
0.78,0.59058474569185,0.9977175435204,0.99513230032172,0.0043321001145265
0.8,0.59833043600931,0.99772323111121,0.99511936867556,0.0043535466923458
0.82,0.60547681142079,0.99772825475972,0.99510769977295,0.0043735464417717
0.84,0.61203198312763,0.99773266885005,0.99509722405866,0.0043920753166915
0.86,0.6180102658814,0.99773652655046,0.99508786788139,0.0044091321592698
0.88,0.62343140482672,0.99773987931733,0.99507955497631,0.0044247364344545
0.9,0.62831968974533,0.99774277647008,0.99507220784351,0.0044389255133377
0.92,0.63270301740242,0.99774526484519,0.99506574899586,0.0044517517094333
0.94,0.6366119547214,0.99774738853214,0.99506010205736,0.00446327924823
0.96,0.64007884522003,0.99774918868991,0.99505519270016,0.0044735813181596
0.98,0.64313699005427,0.9977507034391,0.99505094941637,0.0044827373154877
1,0.64581992431472,0.99775196782228,0.99504730412703,0.0044908303606344
