time,avg_T,max_T,max_V
0,0,0,0
0.25,301.53191528108,301.85342305801,9.9472661222593
0.5,303.05584181275,303.69139892078,9.9473643756256
0.75,304.5718225571,305.51404467489,9.9474635365274
1,306.07990021524,307.32147658942,9.9475635976381
1.25,307.58011722904,309.11381012092,9.9476645515537
1.5,309.07251578269,310.891159918,9.9477663907887
1.75,310.55713780435,312.65363982587,9.9478691077783
2,312.03402496779,314.40136289075,9.9479726948797
2.25,313.50321869398,316.13444136432,9.9480771443737
2.5,314.9647601527,317.85298670801,9.9481824484668
2.75,316.41869026419,319.55710959738,9.9482885992926
3,317.86504970066,321.24691992628,9.9483955889137
3.25,319.30387888796,322.92252681114,9.9485034093234
3.5,320.73521800714,324.5840385951,9.9486120524476
3.75,322.15910699602,326.23156285212,9.9487215101463
4,323.57558555077,327.86520639108,9.948831774216
4.25,324.9846931275,329.48507525982,9.9489428363908
4.5,326.38646894376,331.09127474916,9.9490546883448
4.75,327.7809519802,332.68390939685,9.9491673216936
5,329.168180982,334.2630829915,9.9492807279964
