time,T_cold_wall,T_hot_wall,avg_T,max_vel_x,max_vel_y,lambda
0,0,0,0,0,0,0
0.5,0,1,0.49999999999994,0.0015697095146522,0.0011308896884044,5.1821900759452e-20
1.25,0,1,0.50000000000039,0.0027370969302199,0.0018976134840064,-1.3918711609851e-19
2.375,0,1,0.50000000000052,0.0033443348416758,0.0022553716491754,4.274287073004e-20
4.0625,0,1,0.50000000000044,0.0034366146864553,0.0022489682772993,3.2114132370882e-20
6.59375,0,1,0.50000000000028,0.0031024237425298,0.0019996397448978,-5.8404569291911e-20
10.390625,0,1,0.50000000000015,0.0025158593770951,0.0016146737636966,-1.1027078791713e-19
16.0859375,0,1,0.50000000000007,0.0018258017580199,0.001173119756249,-9.6979803625089e-20
20,0,1,0.50000000000004,0.0014451494492155,0.00093004684378396,-4.9133916155566e-20
