time,avg_T,max_vel_x,max_vel_y,min_vel_x,min_vel_y
0,0,0,0,0,0
0.01,0.50000846037898,1.0095173555404,0.0089444016932392,-1.0095997033965,-0.0095561170766252
0.022,0.50002036084767,1.0094853545093,0.0089011134052636,-1.0096501860935,-0.0095388140227317
0.0364,0.5000371082709,1.0093501043549,0.0088672357679045,-1.009649533629,-0.010193163106292
0.05368,0.50006062930267,1.0091544272293,0.0088865677782861,-1.009619603734,-0.014066890086143
0.074416,0.50009358333507,1.0088837826684,0.0089867697756794,-1.0095703668043,-0.018848895969601
0.0992992,0.50013962280826,1.0085341775426,0.0091493369798417,-1.0095208997914,-0.024700406094116
0.12915904,0.50020373476237,1.008048663528,0.013049294673106,-1.0094369468284,-0.031812836885631
0.164990848,0.50029268556313,1.0073991783602,0.021062697254108,-1.0093142348314,-0.040415526834573
0.2079890176,0.50041559593522,1.0065409503178,0.031646312741452,-1.009198063469,-0.050794727127813
0.25958682112,0.50058468021542,1.0054750138389,0.045147218045368,-1.0090393825206,-0.063317142974749
0.321504185344,0.50081619162333,1.0057454183113,0.061839075846686,-1.0088770172452,-0.078288614330513
0.3958050224128,0.50113160691525,1.006364822343,0.081984804035708,-1.0096088985247,-0.095703446915228
0.48496602689536,0.50155901603814,1.0068699694874,0.10603444426126,-1.0148152690165,-0.1152994290653
0.59195923227443,0.50213444218012,1.0073346411383,0.13523007366954,-1.021996159827,-0.13589475398611
0.72035107872932,0.50290203470694,1.0079437683908,0.17268024331637,-1.0312644410243,-0.15457033121247
0.87442129447518,0.5039099605038,1.0091371084828,0.22699702539672,-1.0427554941921,-0.16540041681608
1.0593055533702,0.50519457449864,1.0116443873339,0.30831689085335,-1.0567044036349,-0.15834257412432
1.2811666640443,0.50673997975018,1.0169460388343,0.40287042375737,-1.0727826245548,-0.12204855542383
1.5473999968531,0.50841697134609,1.0262137724193,0.49200941274396,-1.0892969064641,-0.14378596222894
1.8668799962237,0.51006227405311,1.0409510752181,0.56059057839035,-1.1038150140171,-0.18289160031822
2,0.51068807659048,1.0481826843555,0.58815740670671,-1.1037514979703,-0.20060298545102
