time,avg_T,max_T,max_vel_x,max_vel_y,min_T,min_vel_y,lambda
0,0,0,0,0,0,0,0
0.05,0.49999999999999,1.028046395871,0.00056865502040574,0.0077327058837004,-0.02831967293592,-0.0077967065535001,-2.6534525596387e-20
0.11,0.49999999999999,1.0227625507005,0.0012762747050754,0.01342268797335,-0.02303489857928,-0.013540922313978,-1.6846107373505e-19
0.182,0.49999999999999,1.0172627424758,0.0021342453169052,0.017993554436979,-0.017403598743447,-0.018167729065388,-6.8935330177336e-20
0.2684,0.49999999999999,1.0162166702992,0.0031960425126638,0.021684577703936,-0.016351413941685,-0.021923570518071,2.0839344855191e-19
0.37208,0.49999999999999,1.0145267333462,0.004555213479061,0.024650437588832,-0.014655984195985,-0.024971682171873,-7.6840648125649e-20
0.496496,0.49999999999999,1.0119908631462,0.0063765434850852,0.027161236717635,-0.012128923335147,-0.02759688223918,-2.0142836835404e-19
0.6457952,0.49999999999999,1.0084341156981,0.0089581208092918,0.029750954264643,-0.0086334599205013,-0.030379600075473,-1.1556091722657e-19
0.82495424,0.49999999999999,1.0062757365206,0.01285443318706,0.033392942738602,-0.0062862846132445,-0.034417852488111,4.0298702879212e-19
1.039945088,0.49999999999999,1.0049060029529,0.019110385773368,0.039762604102647,-0.0049523812810685,-0.041704187940348,-1.0184224192817e-19
1.2979341056,0.49999999999999,1.0030271598252,0.029706698324196,0.052558287272248,-0.0032222194327105,-0.055885184240902,-1.0434641015066e-18
1.60752092672,0.49999999999999,1.0019610438254,0.047792520650312,0.079666263122779,-0.0019198085962456,-0.085647830222788,-1.6837997259309e-18
1.979025112064,0.49999999999999,1.0012076252762,0.079483651262843,0.13432141765658,-0.0011760761612887,-0.1480254907238,3.4722237975445e-19
2.4248301344768,0.49999999999999,1.0003521026818,0.12064082445962,0.2165746466594,-3.8570527368839e-06,-0.25692598679162,-2.0011167135008e-18
2.9597961613722,0.49999999999999,0.99999999938838,0.1592448578546,0.32102056783277,1.8379445334282e-11,-0.43592759733037,-1.695393302072e-17
3,0.49999999999999,0.99999999933863,0.16236123558736,0.32923201147278,1.9870690930503e-11,-0.44953039051688,-6.1681746531033e-18
