time,avg_elastic_strain_yy,avg_plastic_strain_yy,avg_stress_yy,max_vonmises,top_disp_y
0,0,0,0,0,0
0.02,0.0002,0,44.42166519598,41.496560472073,0.001
0.04,0.0004,0,88.843330391969,82.99312094399,0.002
0.06,0.0006,0,133.26499558801,124.48968141765,0.003
0.08,0.0008,0,177.68666078399,165.98624188948,0.004
0.1,0.001,0,222.10832597997,207.48280236128,0.005
0.12,0.0011995041342658,4.9586573415714e-07,266.39833631771,243.08761898281,0.006
0.14,0.0012664018149824,0.00013359818501762,283.00841260591,250.2722847249,0.007
0.16,0.0012654272447371,0.00033457275526293,285.16691564643,250.52902665077,0.008
0.18,0.0012632932376506,0.00053670676234942,286.73740709108,250.81670925483,0.009
0.2,0.0012609128395026,0.00073908716049739,287.94081944996,251.10095263405,0.01
0.22,0.0012585810662947,0.00094141893370531,288.88369953803,251.38701534243,0.011
0.24,0.0012564915643469,0.0011435084356531,289.64491757888,251.67427285035,0.012
0.26,0.0012547357430113,0.0013452642569887,290.27998700931,251.96311008233,0.013
0.28,0.0012533366344465,0.0015466633655535,290.82799078558,252.26021263597,0.014
0.3,0.0012522623270217,0.0017477376729783,291.31550972886,252.560580769,0.015
0.32,0.0012515010262371,0.0019484989737629,291.76213149838,252.86500695393,0.016
0.34,0.0012510267646709,0.0021489732353291,292.18101712757,253.17514353784,0.017
0.36,0.0012508084488077,0.0023491915511923,292.58100703885,253.48689920083,0.018
0.38,0.0012508036818331,0.0025491963181669,292.96756711654,253.80054702652,0.019
0.4,0.0012509773602461,0.0027490226397539,293.34442920287,254.11347275345,0.02
0.42,0.0012512979827805,0.0029487020172195,293.71408751361,254.42672525673,0.021
0.44,0.0012517273782959,0.0031482726217041,294.07774747707,254.73854163899,0.022
0.46,0.0012522719819698,0.0033477280180302,294.43758076287,255.04939528454,0.023
0.48,0.0012529112616423,0.0035470887383577,294.79436992924,255.35923370897,0.024
0.5,0.0012536327793426,0.0037463672206574,295.14878888748,255.66814784812,0.025
0.52,0.0012544275414279,0.0039455724585721,295.50138453661,255.97627261417,0.026
0.54,0.0012552852244604,0.0041447147755396,295.85249352959,256.28366180587,0.027
0.56,0.0012561822156527,0.0043438177843473,296.20187712024,256.58995402419,0.028
0.58,0.0012571145193617,0.0045428854806383,296.54985518217,256.89529133201,0.029
0.6,0.0012580706629832,0.0047419293370168,296.89638307708,257.19956939579,0.03
0.62,0.0012590619777307,0.0049409380222693,297.24208737049,257.50324790376,0.031
0.64,0.0012600841813964,0.0051399158186036,297.58707168221,257.80637458507,0.032
0.66,0.001261124727011,0.005338875272989,297.93118714499,258.10878333794,0.033
0.68,0.0012621825229202,0.0055378174770798,298.27454426213,258.41054959059,0.034
0.7,0.0012632614135818,0.0057367385864182,298.61736890133,258.71185859703,0.035
0.72,0.0012643590440517,0.0059356409559483,298.9597087333,259.01274122782,0.036
0.74,0.0012654733852919,0.0061345266147081,299.3016043706,259.31322551194,0.037
0.76,0.0012665934597844,0.0063334065402156,299.64283570584,259.61311926288,0.038
0.78,0.0012677193621225,0.0065322806378775,299.9834454023,259.91245672997,0.039
0.8,0.0012688513024041,0.0067311486975959,300.3234885657,260.21128186865,0.04
0.82,0.0012699942571923,0.0069300057428077,300.66318170997,260.50977382441,0.041
0.84,0.0012711472286428,0.0071288527713572,301.00254580684,260.80795124284,0.042
0.86,0.0012723093401774,0.0073276906598226,301.34159948166,261.1058311029,0.043
0.88,0.0012734798192507,0.0075265201807493,301.68035936418,261.40342889269,0.044
0.9,0.0012746574399635,0.0077253425600365,302.018826343,261.70074680922,0.045
0.92,0.0012758285468351,0.0079241714531649,302.35667043223,261.99750517416,0.046
0.94,0.0012770061359112,0.0081229938640888,302.6942487242,262.29400614435,0.047
0.96,0.0012781795284853,0.0083218204715147,303.03131204448,262.59003721291,0.048
0.98,0.0012793569438295,0.0085206430561705,303.36808173347,262.88578820608,0.049
1,0.0012805394689207,0.0087194605310793,303.70460394139,263.18130026729,0.05
