time,p_avg,p_base,p_mid
0,0,0,0
100,92905.459062448,99999.862433557,99917.064982238
200,89381.706050899,99998.879818244,99620.869183631
300,86733.047669894,99995.129844029,99019.409737911
400,84524.838995776,99984.934236854,98094.1344692
500,82592.286292464,99962.722798737,96884.21379343
600,80852.804120286,99921.389330108,95455.889217027
700,79258.171193981,99853.005653195,93878.776242433
800,77777.371671906,99749.659408577,92213.525417667
900,76389.075130786,99604.204245236,90507.783299046
1000,75077.872993244,99410.797162275,88796.540100769
1100,73832.207385128,99165.187725825,87104.19739866
1200,72643.146867069,98864.786505765,85446.963164284
1300,71503.621147503,98508.569909297,83834.991095516
1400,70407.920706807,98096.883534114,82274.095497174
1500,69351.357312756,97631.19716058,80767.051266787
1600,68330.026454919,97113.850339192,79314.548730993
1700,67340.63666628,96547.8135405,77915.881813703
1800,66380.384083712,95936.478463522,76569.437980912
1900,65446.85840905,95283.482953095,75273.043911809
2000,64537.971162124,94592.570735379,74024.207357927
2100,63651.900075211,93867.483185428,72820.284754554
2200,62787.045381681,93111.878913003,71658.595896644
2300,61941.995007465,92329.276528026,70536.500946992
2400,61115.496521248,91523.016107546,69451.450692248
2500,60306.434282482,90696.235347174,68401.017853633
2600,59513.810634852,89851.856961133,67382.915044334
2700,58736.730283686,88992.584490001,66395.003386231
2800,57974.387205705,88120.904227011,65435.294669508
2900,57226.053593085,87239.091456619,64501.949128395
3000,56491.070447309,86349.219605663,63593.270322578
3100,55768.839523162,85453.171240586,62707.698191699
3200,55058.816387209,84552.650111465,61843.80104411
3300,54360.504403837,83649.193654555,61000.267018455
3400,53673.449499287,82744.185529195,60175.895394508
3500,52997.235583025,81838.867891127,59369.588011731
3600,52331.480528294,80934.353200116,58580.340968251
3700,51675.832631405,80031.635431779,57807.236710834
3800,51029.967483229,79131.600616853,57049.436581688
3900,50393.585197564,78235.036670204,56306.173855992
4000,49766.407949907,77342.64249987,55576.747281482
4100,49148.17778742,76455.036406168,54860.515115811
4200,48538.65467674,75572.763794294,54156.889646846
4300,47937.614761117,74696.304232636,53465.332174206
4400,47344.848802309,73826.077894305,52785.348426185
4500,46760.160786043,72962.451422202,52116.48438398
4600,46183.36667255,72105.743258909,51458.322484273
4700,45614.293276109,71256.228482429,50810.478171323
4800,45052.777259447,70414.143187626,50172.596770483
4900,44498.664230621,69579.68845149,49544.350656254
5000,43951.807931398,68753.033918278,48925.436689395
