time,T_mid,T_near_inlet,T_near_outlet,p_near_inlet,p_near_outlet
0,300,300,300,100000,100000
0.025,387.3116848228,460.74310750296,394.05096820867,199224.42283055,199768.9273795
0.05,387.66068064356,485.53918361221,393.77356706426,200532.45864222,200019.80559365
0.075,387.18483012593,494.58693047978,393.18895836858,200026.36983475,200000.67506119
0.1,387.03399256512,498.04416877557,392.65027941396,200013.75151119,200000.25858427
0.125,387.1385351707,499.29821735889,392.12952371967,200015.68768004,200000.32319868
0.15,387.71295396912,499.74847954896,391.62633583635,200015.64126143,200000.32610493
0.175,389.04377523452,499.9099512868,391.14168351766,200015.50711493,200000.32626918
0.2,391.43260755665,499.96782208132,390.6771614757,200015.37962517,200000.32664477
0.225,395.13425559169,499.98855621704,390.23586861604,200015.25191743,200000.32701627
0.25,400.29974843738,499.99598400944,389.82375667582,200015.12355154,200000.32736328
0.275,406.93867427342,499.99864475526,389.45159854588,200014.99460682,200000.32767729
0.3,414.90655771586,499.99959778714,389.13749220971,200014.86516456,200000.32794288
0.325,423.91720393344,499.99993909278,388.90957968457,200014.73534156,200000.32813605
0.35,433.57684457392,500.00006130478,388.80843107282,200014.60531063,200000.32822223
0.375,443.43455081728,500.0001050945,388.88840852203,200014.47531846,200000.32815067
0.4,453.04055910449,500.00012087881,389.21736130177,200014.34570734,200000.32785916
0.425,462.00174536661,500.0001267484,389.87423258565,200014.21693685,200000.32728755
0.45,470.02344454897,500.00012921404,390.94452804875,200014.08958457,200000.32636685
0.475,476.93026495931,500.0001306387,392.51399808392,200013.96434771,200000.32503169
0.5,482.66451674522,500.00013189397,394.66120544359,200013.84202177,200000.3232281
