time,max_phi,min_phi,total_phi
0,0.99999809876205,-6.9056812260565e-17,0.071712222339116
0.1,0.99987575245464,-0.00023881634857356,0.07171485835254
0.2,1.0055700208561,-0.0060555365508138,0.07172172881196
0.3,1.0175987638793,-0.017797492186697,0.071739976434053
0.4,1.030046409424,-0.032061584157843,0.071781563945478
0.5,1.045360528746,-0.043242523070571,0.071862411190535
0.6,1.0560699490776,-0.052216066385022,0.07199676396135
0.7,1.0652671667364,-0.060486464850899,0.072186177365554
0.8,1.0732185864214,-0.067791479774654,0.072406942250913
0.9,1.0798875526591,-0.07402544204093,0.072605207462762
1,1.0851158933333,-0.079229692074969,0.072709707305766
1.1,1.0902549956112,-0.084983488647365,0.072662904383257
1.2,1.0933721845372,-0.090194390121653,0.072455867337407
1.3,1.0957689853255,-0.094827883062985,0.07214318422186
1.4,1.0983720522161,-0.098411089429295,0.071823143062952
1.5,1.1001638017223,-0.10288731285504,0.071591822728552
1.6,1.101167100751,-0.10679579460356,0.071499246350472
1.7,1.102333870161,-0.10923752376091,0.071534469307023
1.8,1.1039217800802,-0.11224139540444,0.071645341864305
1.9,1.1049539526808,-0.11589918677305,0.071775409016338
2,1.1039806086077,-0.11795449129121,0.071892682194408
2.1,1.1061021246307,-0.11866132458613,0.071995678375616
2.2,1.1069686829126,-0.12099051512905,0.072099640534187
2.3,1.1078554246653,-0.12357810086273,0.072216654261052
2.4,1.1087309069022,-0.12572570599679,0.072342583478296
2.5,1.1088383125567,-0.12734914625232,0.072455920966277
2.6,1.1091715222938,-0.12876620419283,0.072526140419026
2.7,1.1096248542512,-0.13021360307768,0.072525920570107
2.8,1.1102920913637,-0.13157257361858,0.072442140376984
2.9,1.110170668384,-0.13276198579609,0.072282399872911
3,1.1087659886546,-0.13421671041109,0.072075457212596
3.1,1.1065866680845,-0.13534888477382,0.071865357571301
3.14159,1.108019509811,-0.13502110899966,0.071785133503342
